_dataset,_kind,_index,_payload,g,response_x,response_y,need_reference,service
README,metadata,,"{""figure"":1,""content"":""Illustrative conceptual geometry only: resources, cooling efficacy, accessibility and need alignment. Not observed data."",""schema"":""sectioned-wide-csv-v1"",""instructions"":""Filter _dataset to obtain a table. header records name its original columns; row records contain those columns. _payload stores only structured metadata, geometry or numeric raster rows. Empty CSV cells retain original missing values."",""access_status"":""Local prepared package, not a published repository deposit."",""license"":""Not assigned by this packaging step. Confirm code and third-party data redistribution terms before deposit.""}",,,,,
Figure/data/concept_spec.json,json,,"{""common"":0.58,""gap_x"":0.48,""cooling_footprint"":[[0.12,0.56],[0.04,0.78],[0.23,0.89],[0.44,0.8],[0.52,0.73],[0.72,0.69],[0.69,0.51],[0.67,0.34],[0.45,0.3],[0.3,0.37],[0.2,0.42],[0.12,0.46],[0.12,0.56]],""green_patch"":[[0.17,0.39],[0.42,0.4],[0.44,0.64],[0.34,0.85],[0.15,0.82],[0.12,0.64]]}",,,,,
Figure/data/concept_curves.csv,header,,"[""g"",""response_x"",""response_y"",""need_reference"",""service""]",,,,,
Figure/data/concept_curves.csv,row,0,,0.0,0.0,0.0,0.0,0.0
Figure/data/concept_curves.csv,row,1,,0.0033444816053511705,0.009583946622430766,4.6883216005516694e-05,0.0033444816053511705,1.1185557208532343e-05
Figure/data/concept_curves.csv,row,2,,0.006688963210702341,0.019072214043964024,0.00014713530294474726,0.006688963210702341,4.474222883412937e-05
Figure/data/concept_curves.csv,row,3,,0.010033444816053512,0.028465757456635536,0.00028725491296195617,0.010033444816053512,0.0001006700148767911
Figure/data/concept_curves.csv,row,4,,0.013377926421404682,0.03776552251653346,0.00046176007571867864,0.013377926421404682,0.0001789689153365175
Figure/data/concept_curves.csv,row,5,,0.016722408026755852,0.046972445438998985,0.0006672950482004809,0.016722408026755852,0.00027963893021330853
Figure/data/concept_curves.csv,row,6,,0.020066889632107024,0.056087453092875134,0.000901502547010664,0.020066889632107024,0.0004026800595071644
Figure/data/concept_curves.csv,row,7,,0.023411371237458192,0.06511146309381619,0.0011625969009660807,0.023411371237458192,0.0005480923032180848
Figure/data/concept_curves.csv,row,8,,0.026755852842809364,0.07404538389666405,0.0014491584498098993,0.026755852842809364,0.00071587566134607
Figure/data/concept_curves.csv,row,9,,0.030100334448160536,0.0828901148869042,0.0017600197266986017,0.030100334448160536,0.0009060301338911198
Figure/data/concept_curves.csv,row,10,,0.033444816053511704,0.0916465464712066,0.002094196333693372,0.033444816053511704,0.0011185557208532341
